EmployeeID,Age,Gender,Department,JobRole,EducationField,Education,MonthlyIncome,JobLevel,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,BusinessTravel,DistanceFromHome,Attrition
EMP0001,20,Female,Research & Development,Manager,Medical,1,8125,2,15,5,3,4,3,3,No,Travel_Rarely,12,Yes
EMP0002,52,Male,Human Resources,Human Resources,Marketing,2,9720,3,11,10,1,1,3,3,Yes,Non-Travel,9,No
EMP0003,29,Female,Research & Development,Research Scientist,Technical Degree,3,8474,5,1,0,2,3,3,3,No,Travel_Frequently,22,No
EMP0004,41,Male,Research & Development,Healthcare Representative,Medical,2,10798,2,2,1,1,3,2,4,Yes,Travel_Rarely,4,Yes
EMP0005,22,Male,Sales,Sales Representative,Life Sciences,3,6824,3,8,6,2,1,3,3,No,Non-Travel,13,No
EMP0006,37,Male,Sales,Sales Executive,Medical,2,8383,3,0,0,1,3,1,3,No,Travel_Rarely,2,No
EMP0007,56,Male,Sales,Sales Representative,Life Sciences,4,12703,5,11,9,2,1,2,3,No,Travel_Rarely,3,No
EMP0008,56,Female,Research & Development,Research Director,Life Sciences,4,10149,3,8,4,2,1,4,3,No,Travel_Rarely,5,No
EMP0009,30,Male,Research & Development,Healthcare Representative,Life Sciences,2,7816,1,9,4,2,3,4,3,No,Travel_Rarely,24,No
EMP0010,58,Male,Research & Development,Laboratory Technician,Life Sciences,2,11727,3,0,0,3,3,3,3,Yes,Non-Travel,28,No
EMP0011,29,Male,Sales,Sales Representative,Life Sciences,2,6658,2,8,4,4,1,4,3,Yes,Travel_Rarely,26,No
EMP0012,30,Female,Human Resources,Human Resources,Life Sciences,2,7711,1,7,6,2,1,3,3,Yes,Non-Travel,18,No
EMP0013,27,Female,Research & Development,Research Scientist,Technical Degree,3,10376,2,12,6,1,2,1,3,No,Travel_Frequently,21,Yes
EMP0014,50,Male,Sales,Manager,Other,4,8764,4,0,0,2,2,4,4,Yes,Travel_Rarely,14,Yes
EMP0015,57,Male,Sales,Manager,Life Sciences,3,8974,4,0,0,4,2,1,3,Yes,Non-Travel,25,No
EMP0016,33,Male,Sales,Sales Executive,Other,4,7440,3,3,1,3,2,3,3,No,Travel_Rarely,2,No
EMP0017,52,Female,Research & Development,Healthcare Representative,Medical,2,11378,5,1,0,2,3,2,3,No,Non-Travel,15,No
EMP0018,20,Male,Research & Development,Research Scientist,Life Sciences,1,8999,3,5,3,1,2,3,3,No,Travel_Rarely,8,No
EMP0019,22,Male,Research & Development,Research Scientist,Life Sciences,3,7849,1,17,16,2,3,3,3,No,Non-Travel,16,No
EMP0020,43,Male,Sales,Sales Executive,Medical,2,9986,2,3,1,2,3,3,3,No,Travel_Rarely,3,No
EMP0021,28,Male,Research & Development,Research Scientist,Technical Degree,3,9852,1,13,10,4,1,2,3,No,Travel_Frequently,24,No
EMP0022,24,Female,Sales,Sales Representative,Marketing,2,9349,1,0,0,4,1,3,4,Yes,Travel_Rarely,20,No
EMP0023,27,Male,Sales,Manager,Life Sciences,1,7962,1,1,0,1,4,3,3,No,Travel_Rarely,20,Yes
EMP0024,59,Male,Research & Development,Manager,Life Sciences,5,9378,2,0,0,3,1,4,3,No,Travel_Rarely,28,No
EMP0025,51,Male,Research & Development,Healthcare Representative,Life Sciences,1,9923,4,2,1,2,1,4,3,Yes,Travel_Rarely,23,Yes
EMP0026,20,Male,Research & Development,Research Director,Life Sciences,5,7758,4,16,13,2,1,3,3,No,Travel_Rarely,5,No
EMP0027,25,Female,Sales,Sales Executive,Life Sciences,5,7792,3,0,0,4,3,2,3,No,Travel_Rarely,4,No
EMP0028,48,Male,Research & Development,Research Scientist,Life Sciences,3,10189,4,6,4,3,3,4,3,Yes,Travel_Rarely,23,No
EMP0029,28,Female,Research & Development,Research Scientist,Technical Degree,3,9635,2,4,1,2,4,2,4,No,Travel_Rarely,12,No
EMP0030,24,Female,Sales,Sales Executive,Human Resources,3,8939,4,19,12,2,4,2,3,Yes,Travel_Rarely,19,No
EMP0031,19,Male,Research & Development,Research Scientist,Life Sciences,4,7882,2,0,0,4,2,3,3,No,Non-Travel,15,No
EMP0032,23,Male,Sales,Manager,Human Resources,2,8718,2,1,0,3,2,4,3,No,Travel_Rarely,25,Yes
EMP0033,58,Male,Sales,Sales Representative,Life Sciences,2,10926,4,0,0,2,2,2,3,No,Travel_Rarely,13,No
EMP0034,49,Female,Human Resources,Manager,Medical,3,9471,2,3,1,2,1,2,3,Yes,Non-Travel,5,No
EMP0035,37,Male,Human Resources,Human Resources,Life Sciences,2,9185,2,2,0,2,1,3,3,Yes,Travel_Rarely,12,No
EMP0036,51,Male,Research & Development,Healthcare Representative,Medical,2,10637,2,14,5,4,1,2,4,Yes,Travel_Rarely,19,No
EMP0037,33,Male,Research & Development,Laboratory Technician,Other,2,10786,3,6,4,3,1,3,3,Yes,Travel_Rarely,2,No
EMP0038,42,Female,Sales,Sales Representative,Medical,3,8209,5,6,4,2,2,3,3,No,Non-Travel,7,No
EMP0039,29,Male,Research & Development,Research Scientist,Life Sciences,4,8407,1,5,4,3,2,3,3,No,Non-Travel,28,No
EMP0040,24,Male,Research & Development,Healthcare Representative,Medical,2,8318,4,0,0,3,4,2,3,No,Travel_Rarely,23,No
